,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
205,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000210.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000210.jpg,264,141
206,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000170.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000170.jpg,263,222
207,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000358.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000372.jpg,1138,220
208,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000260.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000270.jpg,1128,223
209,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000241.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000250.jpg,1124,454
210,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000382.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000397.jpg,1144,251
211,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000245.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000245.jpg,296,42
212,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000269.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000269.jpg,302,169
213,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000267.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000267.jpg,300,72
214,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000486.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000505.jpg,1162,558
215,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000271.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000271.jpg,304,560
216,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000307.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000307.jpg,270,157
217,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000289.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000289.jpg,305,359
218,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000482.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000501.jpg,1158,131
219,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000223.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000223.jpg,292,543
220,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000066.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000068.jpg,1119,521
221,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000268.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000268.jpg,301,639
222,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000065.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000067.jpg,1118,58
223,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000458.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000476.jpg,1154,41
224,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000380.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000380.jpg,275,205
225,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000242.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000251.jpg,1125,197
226,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000316.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000316.jpg,308,183
227,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000500.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000500.jpg,278,237
228,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000090.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000093.jpg,1121,330
229,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000247.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000247.jpg,298,629
230,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000270.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000270.jpg,303,149
231,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000220.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000220.jpg,289,381
232,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000483.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000502.jpg,1159,593
233,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000011.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000011.jpg,647,248
234,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000254.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000254.jpg,860,753
235,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000281.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000281.jpg,865,759
236,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000111.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000111.jpg,666,10
237,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000395.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000411.jpg,344,198
238,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000268.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000279.jpg,1274,596
239,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000330.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000330.jpg,877,601
240,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000062.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000064.jpg,1259,748
241,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000231.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000231.jpg,859,717
242,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000331.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000331.jpg,878,856
243,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000159.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000165.jpg,1321,478
244,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000244.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000254.jpg,1270,271
245,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000036.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000036.jpg,650,418
246,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000081.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_ne_18_060_20191014_000084.jpg,638,226
247,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000235.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000244.jpg,1333,623
248,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000231.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000240.jpg,1330,85
